PROGRES PENDATAAN - USAHA KELUARGA,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.00 | Dicetak: 20 Jul 2026, 20.43",,,,,,,
,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),JUMLAH USAHA KELUARGA MENURUT STATUS KEBERADAAN USAHA,,,,,Jumlah Usaha dalam Keluarga
,,Ditemukan,Tutup,Ganda,Tidak Ditemukan,Baru,
-1,-2,-3,-4,-5,-6,-7,-8
61040800020009,RT 001 RW 014 DUSUN URAI BAWADI,34,12,0,1,11,45
"6,10408E+15",RT 001 RW 014 DUSUN URAI BAWADI,34,12,0,1,11,45
61040800020010,RT 002 RW 014 DUSUN URAI BAWADI,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 014 DUSUN URAI BAWADI,0,0,0,0,0,0
61040800020011,RT 003 RW 014 DUSUN URAI BAWADI,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 014 DUSUN URAI BAWADI,0,0,0,0,0,0
61040800020012,RT 001 RW 006 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 006 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0
61040800020013,RT 002 RW 006 DUSUN PANGERAN ADIPATI,3,1,0,0,1,4
"6,10408E+15",RT 002 RW 006 DUSUN PANGERAN ADIPATI,3,1,0,0,1,4
61040800020014,RT 003 RW 006 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 006 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0
61040800020015,RT 001 RW 012 DUSUN PANGERAN ADIPATI,2,4,0,1,4,6
"6,10408E+15",RT 001 RW 012 DUSUN PANGERAN ADIPATI,2,4,0,1,4,6
61040800020016,RT 002 RW 012 DUSUN PANGERAN ADIPATI,16,6,0,2,2,18
"6,10408E+15",RT 002 RW 012 DUSUN PANGERAN ADIPATI,16,6,0,2,2,18
61040800020017,RT 003 RW 012 DUSUN PANGERAN ADIPATI,11,8,0,1,12,23
"6,10408E+15",RT 003 RW 012 DUSUN PANGERAN ADIPATI,11,8,0,1,12,23
61040800020018,RT 004 RW 012 DUSUN PANGERAN ADIPATI,14,9,0,2,10,24
"6,10408E+15",RT 004 RW 012 DUSUN PANGERAN ADIPATI,14,9,0,2,10,24
61040800020019,RT 005 RW 012 DUSUN PANGERAN ADIPATI,6,17,0,0,1,7
"6,10408E+15",RT 005 RW 012 DUSUN PANGERAN ADIPATI,6,17,0,0,1,7
61040800020020,RT 001 RW 003 DUSUN SULTAN ABDURRAHMAN,3,3,0,2,2,5
"6,10408E+15",RT 001 RW 003 DUSUN SULTAN ABDURRAHMAN,3,3,0,2,2,5
61040800020021,RT 002 RW 003 DUSUN SULTAN ABDURRAHMAN,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 003 DUSUN SULTAN ABDURRAHMAN,0,0,0,0,0,0
61040800020022,RT 003 RW 003 DUSUN SULTAN ABDURRAHMAN,5,6,0,0,5,10
"6,10408E+15",RT 003 RW 003 DUSUN SULTAN ABDURRAHMAN,5,6,0,0,5,10
61040800020023,RT 001 RW 013 DUSUN SULTAN ABDURRAHMAN,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 013 DUSUN SULTAN ABDURRAHMAN,0,0,0,0,0,0
61040800020024,RT 002 RW 013 DUSUN SULTAN ABDURRAHMAN,6,1,0,12,1,7
"6,10408E+15",RT 002 RW 013 DUSUN SULTAN ABDURRAHMAN,6,1,0,12,1,7
61040800020025,RT 003 RW 013 DUSUN SULTAN ABDURRAHMAN,11,17,0,0,9,20
"6,10408E+15",RT 003 RW 013 DUSUN SULTAN ABDURRAHMAN,11,17,0,0,9,20
61040800020026,RT 004 RW 013 DUSUN SULTAN ABDURRAHMAN,15,27,1,0,6,21
"6,10408E+15",RT 004 RW 013 DUSUN SULTAN ABDURRAHMAN,15,27,1,0,6,21
61040800020027,RT 005 RW 013 DUSUN SULTAN ABDURRAHMAN,16,12,0,0,2,18
"6,10408E+15",RT 005 RW 013 DUSUN SULTAN ABDURRAHMAN,16,12,0,0,2,18
61040800020028,RT 001 RW 005 DUSUN PANGSUMA,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 005 DUSUN PANGSUMA,0,0,0,0,0,0
61040800020029,RT 002 RW 005 DUSUN PANGSUMA,3,0,0,0,1,4
"6,10408E+15",RT 002 RW 005 DUSUN PANGSUMA,3,0,0,0,1,4
61040800020030,RT 003 RW 005 DUSUN PANGSUMA,2,2,0,0,4,6
"6,10408E+15",RT 003 RW 005 DUSUN PANGSUMA,2,2,0,0,4,6
61040800020031,RT 004 RW 005 DUSUN PANGSUMA,2,5,0,1,6,8
"6,10408E+15",RT 004 RW 005 DUSUN PANGSUMA,2,5,0,1,6,8
61040800020032,RT 005 RW 005 DUSUN PANGSUMA,9,3,0,1,8,17
"6,10408E+15",RT 005 RW 005 DUSUN PANGSUMA,9,3,0,1,8,17
61040800020033,RT 001 RW 007 DUSUN PANGSUMA,18,11,0,2,7,25
"6,10408E+15",RT 001 RW 007 DUSUN PANGSUMA,18,11,0,2,7,25
61040800020034,RT 002 RW 007 DUSUN PANGSUMA,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 007 DUSUN PANGSUMA,0,0,0,0,0,0
61040800020035,RT 003 RW 007 DUSUN PANGSUMA,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 007 DUSUN PANGSUMA,0,0,0,0,0,0
61040800020036,RT 004 RW 007 DUSUN PANGSUMA,5,3,0,0,5,10
"6,10408E+15",RT 004 RW 007 DUSUN PANGSUMA,5,3,0,0,5,10
61040800020037,RT 005 RW 007 DUSUN PANGSUMA,0,0,0,0,0,0
"6,10408E+15",RT 005 RW 007 DUSUN PANGSUMA,0,0,0,0,0,0
61040800020038,RT 001 RW 008 DUSUN ALIANYANG,0,0,0,0,0,0
