PROGRES PENDATAAN - USAHA/PERUSAHAAN,,,,,,,,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.00 | Dicetak: 20 Jul 2026, 20.43",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),Jumlah Prelist Usaha,JUMLAH USAHA BKU MENURUT STATUS KEBERADAAN USAHA,,,,,,,,,,Jumlah Usaha BKU,Persentase Usaha BKU
,,,Ditemukan,Persentase Ditemukan,Tutup,Persentase Tutup,Ganda,Persentase Ganda,Tidak Ditemukan,Persentase Tidak Ditemukan,Baru,Persentase Baru,,
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15
"6,10408E+15",RT 019 RW 04 DUSUN MELATI,5,0,0,0,0,0,0,5,100,0,0,0,0
61040800010023,RT 23 RW 03 DUSUN MELATI,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 23 RW 03 DUSUN MELATI,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800010024,RT 020 RW 01 DUSUN MAWAR,2,0,0,0,0,0,0,1,50,0,0,0,0
"6,10408E+15",RT 020 RW 01 DUSUN MAWAR,2,0,0,0,0,0,0,1,50,0,0,0,0
6104080002,JUNGKAT,324,10,"3,09",8,"2,47",0,0,78,"24,07",30,"9,26",40,"12,35"
61040800020001,RT 001 RW 016 DUSUN DAENG MANAMBON,2,0,0,0,0,0,0,1,50,0,0,0,0
"6,10408E+15",RT 001 RW 016 DUSUN DAENG MANAMBON,2,0,0,0,0,0,0,1,50,0,0,0,0
61040800020002,RT 002 RW 016 DUSUN DAENG MANAMBON,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 016 DUSUN DAENG MANAMBON,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020003,RT 003 RW 016 DUSUN DAENG MANAMBON,3,3,100,0,0,0,0,0,0,0,0,3,100
"6,10408E+15",RT 003 RW 016 DUSUN DAENG MANAMBON,3,3,100,0,0,0,0,0,0,0,0,3,100
61040800020004,RT 001 RW 019 DUSUN DAENG MANAMBON,1,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 019 DUSUN DAENG MANAMBON,1,0,0,0,0,0,0,0,0,0,0,0,0
61040800020005,RT 003 RW 019 DUSUN DAENG MANAMBON,0,0,0,0,0,0,0,0,0,1,0,1,0
"6,10408E+15",RT 003 RW 019 DUSUN DAENG MANAMBON,0,0,0,0,0,0,0,0,0,1,0,1,0
61040800020006,RT 001 RW 002 DUSUN URAI BAWADI,6,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 002 DUSUN URAI BAWADI,6,0,0,0,0,0,0,0,0,0,0,0,0
61040800020007,RT 002 RW 002 DUSUN URAI BAWADI,9,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 002 DUSUN URAI BAWADI,9,0,0,0,0,0,0,0,0,0,0,0,0
61040800020008,RT 003 RW 002 DUSUN URAI BAWADI,12,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 002 DUSUN URAI BAWADI,12,0,0,0,0,0,0,0,0,0,0,0,0
61040800020009,RT 001 RW 014 DUSUN URAI BAWADI,4,0,0,1,25,0,0,2,50,0,0,0,0
"6,10408E+15",RT 001 RW 014 DUSUN URAI BAWADI,4,0,0,1,25,0,0,2,50,0,0,0,0
61040800020010,RT 002 RW 014 DUSUN URAI BAWADI,1,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 014 DUSUN URAI BAWADI,1,0,0,0,0,0,0,0,0,0,0,0,0
61040800020011,RT 003 RW 014 DUSUN URAI BAWADI,2,0,0,0,0,0,0,0,0,0,0,0,0
