PROGRES PEMUTAKHIRAN KELUARGA - KELUARGA,,,,,,,,,,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.16 | Dicetak: 20 Jul 2026, 20.23",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),Prelist Awal,Ditemukan,Persentase Ditemukan,Keluarga Baru,Meninggal,Persentase Meninggal,Tidak Eligible,Persentase Tidak Eligible,Tidak Dapat Ditemui Sampai Akhir Pendataan,Persentase Tidak Dapat Ditemui Sampai Akhir Pendataan,Tidak Ditemukan,Persentase Tidak Ditemukan,Keluarga Khusus,Total Hasil Pendataan ((4) + (5)),Persentase Total Hasil Pendataan ((4) + (5))
6104080001001800,RT 015 RW 04 DUSUN MELATI,98,47,"47,96",4,0,0,0,0,0,0,1,"1,02",0,51,"52,04"
61040800010019,RT 016 RW 04 DUSUN MELATI,49,37,"75,51",4,1,"2,04",0,0,0,0,11,"22,45",0,41,"83,67"
6104080001001900,RT 016 RW 04 DUSUN MELATI,49,37,"75,51",4,1,"2,04",0,0,0,0,11,"22,45",0,41,"83,67"
61040800010020,RT 017 RW 04 DUSUN MELATI,90,21,"23,33",2,2,"2,22",0,0,0,0,16,"17,78",0,23,"25,56"
6104080001002000,RT 017 RW 04 DUSUN MELATI,90,21,"23,33",2,2,"2,22",0,0,0,0,16,"17,78",0,23,"25,56"
61040800010021,RT 018 RW 04 DUSUN MELATI,60,38,"63,33",6,2,"3,33",0,0,0,0,18,30,0,44,"73,33"
6104080001002100,RT 018 RW 04 DUSUN MELATI,60,38,"63,33",6,2,"3,33",0,0,0,0,18,30,0,44,"73,33"
61040800010022,RT 019 RW 04 DUSUN MELATI,87,60,"68,97",5,1,"1,15",0,0,0,0,26,"29,89",0,65,"74,71"
6104080001002200,RT 019 RW 04 DUSUN MELATI,87,60,"68,97",5,1,"1,15",0,0,0,0,26,"29,89",0,65,"74,71"
61040800010023,RT 23 RW 03 DUSUN MELATI,7,4,"57,14",21,1,"14,29",0,0,0,0,2,"28,57",0,25,"357,14"
6104080001002300,RT 23 RW 03 DUSUN MELATI,7,4,"57,14",21,1,"14,29",0,0,0,0,2,"28,57",0,25,"357,14"
61040800010024,RT 020 RW 01 DUSUN MAWAR,69,42,"60,87",4,0,0,0,0,0,0,26,"37,68",0,46,"66,67"
6104080001002400,RT 020 RW 01 DUSUN MAWAR,69,42,"60,87",4,0,0,0,0,0,0,26,"37,68",0,46,"66,67"
6104080002,JUNGKAT,"4,613","1,781","38,61",244,77,"1,67",0,0,0,0,557,"12,07",0,"2,025","43,9"
61040800020001,RT 001 RW 016 DUSUN DAENG MANAMBON,38,29,"76,32",2,1,"2,63",0,0,0,0,5,"13,16",0,31,"81,58"
6104080002000100,RT 001 RW 016 DUSUN DAENG MANAMBON,38,29,"76,32",2,1,"2,63",0,0,0,0,5,"13,16",0,31,"81,58"
61040800020002,RT 002 RW 016 DUSUN DAENG MANAMBON,38,23,"60,53",5,0,0,0,0,0,0,0,0,0,28,"73,68"
6104080002000200,RT 002 RW 016 DUSUN DAENG MANAMBON,38,23,"60,53",5,0,0,0,0,0,0,0,0,0,28,"73,68"
61040800020003,RT 003 RW 016 DUSUN DAENG MANAMBON,59,48,"81,36",2,2,"3,39",0,0,0,0,9,"15,25",0,50,"84,75"
6104080002000300,RT 003 RW 016 DUSUN DAENG MANAMBON,59,48,"81,36",2,2,"3,39",0,0,0,0,9,"15,25",0,50,"84,75"
61040800020004,RT 001 RW 019 DUSUN DAENG MANAMBON,33,23,"69,7",4,2,"6,06",0,0,0,0,8,"24,24",0,27,"81,82"
6104080002000400,RT 001 RW 019 DUSUN DAENG MANAMBON,33,23,"69,7",4,2,"6,06",0,0,0,0,8,"24,24",0,27,"81,82"
61040800020005,RT 003 RW 019 DUSUN DAENG MANAMBON,33,22,"66,67",3,3,"9,09",0,0,0,0,6,"18,18",0,25,"75,76"
6104080002000500,RT 003 RW 019 DUSUN DAENG MANAMBON,33,22,"66,67",3,3,"9,09",0,0,0,0,6,"18,18",0,25,"75,76"
61040800020006,RT 001 RW 002 DUSUN URAI BAWADI,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002000600,RT 001 RW 002 DUSUN URAI BAWADI,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020007,RT 002 RW 002 DUSUN URAI BAWADI,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002000700,RT 002 RW 002 DUSUN URAI BAWADI,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020008,RT 003 RW 002 DUSUN URAI BAWADI,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002000800,RT 003 RW 002 DUSUN URAI BAWADI,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020009,RT 001 RW 014 DUSUN URAI BAWADI,120,60,50,7,1,"0,83",0,0,0,0,2,"1,67",0,67,"55,83"
6104080002000900,RT 001 RW 014 DUSUN URAI BAWADI,120,60,50,7,1,"0,83",0,0,0,0,2,"1,67",0,67,"55,83"
61040800020010,RT 002 RW 014 DUSUN URAI BAWADI,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002001000,RT 002 RW 014 DUSUN URAI BAWADI,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020011,RT 003 RW 014 DUSUN URAI BAWADI,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002001100,RT 003 RW 014 DUSUN URAI BAWADI,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020012,RT 001 RW 006 DUSUN PANGERAN ADIPATI,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002001200,RT 001 RW 006 DUSUN PANGERAN ADIPATI,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020013,RT 002 RW 006 DUSUN PANGERAN ADIPATI,52,8,"15,38",1,0,0,0,0,0,0,2,"3,85",0,9,"17,31"
6104080002001300,RT 002 RW 006 DUSUN PANGERAN ADIPATI,52,8,"15,38",1,0,0,0,0,0,0,2,"3,85",0,9,"17,31"
61040800020014,RT 003 RW 006 DUSUN PANGERAN ADIPATI,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002001400,RT 003 RW 006 DUSUN PANGERAN ADIPATI,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020015,RT 001 RW 012 DUSUN PANGERAN ADIPATI,50,29,58,0,2,4,0,0,0,0,18,36,0,29,58
6104080002001500,RT 001 RW 012 DUSUN PANGERAN ADIPATI,50,29,58,0,2,4,0,0,0,0,18,36,0,29,58
61040800020016,RT 002 RW 012 DUSUN PANGERAN ADIPATI,113,69,"61,06",11,1,"0,88",0,0,0,0,43,"38,05",0,80,"70,8"
6104080002001600,RT 002 RW 012 DUSUN PANGERAN ADIPATI,113,69,"61,06",11,1,"0,88",0,0,0,0,43,"38,05",0,80,"70,8"
61040800020017,RT 003 RW 012 DUSUN PANGERAN ADIPATI,85,51,60,15,2,"2,35",0,0,0,0,32,"37,65",0,66,"77,65"
6104080002001700,RT 003 RW 012 DUSUN PANGERAN ADIPATI,85,51,60,15,2,"2,35",0,0,0,0,32,"37,65",0,66,"77,65"
61040800020018,RT 004 RW 012 DUSUN PANGERAN ADIPATI,83,46,"55,42",3,0,0,0,0,0,0,2,"2,41",0,49,"59,04"
6104080002001800,RT 004 RW 012 DUSUN PANGERAN ADIPATI,83,46,"55,42",3,0,0,0,0,0,0,2,"2,41",0,49,"59,04"
61040800020019,RT 005 RW 012 DUSUN PANGERAN ADIPATI,65,44,"67,69",6,2,"3,08",0,0,0,0,19,"29,23",0,50,"76,92"
6104080002001900,RT 005 RW 012 DUSUN PANGERAN ADIPATI,65,44,"67,69",6,2,"3,08",0,0,0,0,19,"29,23",0,50,"76,92"
61040800020020,RT 001 RW 003 DUSUN SULTAN ABDURRAHMAN,27,16,"59,26",2,1,"3,7",0,0,0,0,10,"37,04",0,18,"66,67"
6104080002002000,RT 001 RW 003 DUSUN SULTAN ABDURRAHMAN,27,16,"59,26",2,1,"3,7",0,0,0,0,10,"37,04",0,18,"66,67"
61040800020021,RT 002 RW 003 DUSUN SULTAN ABDURRAHMAN,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002002100,RT 002 RW 003 DUSUN SULTAN ABDURRAHMAN,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020022,RT 003 RW 003 DUSUN SULTAN ABDURRAHMAN,66,43,"65,15",9,2,"3,03",0,0,0,0,19,"28,79",0,52,"78,79"
6104080002002200,RT 003 RW 003 DUSUN SULTAN ABDURRAHMAN,66,43,"65,15",9,2,"3,03",0,0,0,0,19,"28,79",0,52,"78,79"
61040800020023,RT 001 RW 013 DUSUN SULTAN ABDURRAHMAN,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002002300,RT 001 RW 013 DUSUN SULTAN ABDURRAHMAN,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020024,RT 002 RW 013 DUSUN SULTAN ABDURRAHMAN,55,41,"74,55",4,1,"1,82",0,0,0,0,13,"23,64",0,45,"81,82"
6104080002002400,RT 002 RW 013 DUSUN SULTAN ABDURRAHMAN,55,41,"74,55",4,1,"1,82",0,0,0,0,13,"23,64",0,45,"81,82"
61040800020025,RT 003 RW 013 DUSUN SULTAN ABDURRAHMAN,81,55,"67,9",9,2,"2,47",0,0,0,0,24,"29,63",0,64,"79,01"
