Tabel,Kolom,DataKey,Urutan,Blok,Nomor Rincian,Label,Tipe,Keterangan
tgr_fd68e454.se2026_nested,keg_penjualan_label,keg_penjualan,162,SE2026 - L BLOK II,13,b3. Apakah melakukan penjualan barang?,Radio Group,
tgr_fd68e454.se2026_nested,keg_penjualan_value,keg_penjualan,162,SE2026 - L BLOK II,13,b3. Apakah melakukan penjualan barang?,Radio Group,
tgr_fd68e454.se2026_nested,keg_jasa_label,keg_jasa,163,SE2026 - L BLOK II,13,b4. Pilih salah satu aktivitas yang dilakukan:,Radio Group,
tgr_fd68e454.se2026_nested,keg_jasa_value,keg_jasa,163,SE2026 - L BLOK II,13,b4. Pilih salah satu aktivitas yang dilakukan:,Radio Group,
tgr_fd68e454.se2026_nested,lokasi_usaha_label,lokasi_usaha,164,SE2026 - L BLOK II,13,c. Di mana usaha tersebut biasa dilakukan?,Radio Group,
tgr_fd68e454.se2026_nested,lokasi_usaha_value,lokasi_usaha,164,SE2026 - L BLOK II,13,c. Di mana usaha tersebut biasa dilakukan?,Radio Group,
tgr_fd68e454.se2026_nested,input,input,165,SE2026 - L BLOK II,13,"d. Apa input yang digunakan? Contoh: daging ikan, tepung; daging kebab, kulit kebab, sayuran; bambu; jagung pipil; kaca; kain; kulit sapi; kayu bulat; rotan; kunci polos",Text Area,
tgr_fd68e454.se2026_nested,proses,proses,166,SE2026 - L BLOK II,13,e. Bagaimana proses mengubah input tersebut menjadi produk output (beserta alatnya)? Contoh: menggiling daging ikan menjadi sosis; membuat kebab di rumah dan sudah dikemasi kemudian dititipkan di warung; penggaraman; pengasapan; pemindangan; pembekuan.,Text Area,
tgr_fd68e454.se2026_nested,produk,produk,167,SE2026 - L BLOK II,13,f. Apa produk utama yang dihasilkan?,Text Input,
tgr_fd68e454.se2026_nested,kbli_genai_label,kbli_genai,168,SE2026 - L BLOK II,13,g. Kode KBLI,Radio Group,
tgr_fd68e454.se2026_nested,kbli_genai_value,kbli_genai,168,SE2026 - L BLOK II,13,g. Kode KBLI,Radio Group,
tgr_fd68e454.se2026_nested,kbli_label,kbli,169,SE2026 - L BLOK II,,Pilih dari Master KBLI,Select,
tgr_fd68e454.se2026_nested,kbli_value,kbli,169,SE2026 - L BLOK II,,Pilih dari Master KBLI,Select,
tgr_fd68e454.se2026_nested,kategori,kategori,170,SE2026 - L BLOK II,13,h. Kategori Lapangan Usaha:,Variable,
tgr_fd68e454.se2026_nested,cek_kbli_pml_label,cek_kbli_pml,171,SE2026 - L BLOK II,,Cek Kategori & KBLI (Diisi oleh PML),Radio Group,
tgr_fd68e454.se2026_nested,cek_kbli_pml_value,cek_kbli_pml,171,SE2026 - L BLOK II,,Cek Kategori & KBLI (Diisi oleh PML),Radio Group,
tgr_fd68e454.se2026_nested,klasifikasi_label,klasifikasi,172,SE2026 - L BLOK II,13,"i. Jika usaha/perusahaan merupakan akomodasi jangka pendek, apa klasifikasi usaha/perusahaan ini?",Radio Group,
